idPNMain,PNG,Name,RAJ2000,DECJ2000,MajDiam,mainClass,subClass
257,013.8-07.9,"PC 21",18:45:35.29,-20:34:59.6,13.2,E,m;p;s;
258,013.8-02.8,"SaWe 3",18:26:03.68,-18:12:34.5,110.0,B,a;s;
259,014.0-05.5,"V-V 3-5",18:36:32.34,-19:19:27.2,10.0,E,
260,014.2-07.3,"M 3-31",18:44:01.8,-19:54:52.52,7.0,R,
261,014.3-05.5,"V-V 3-6",18:37:11.1,-19:02:21.55,11.9,E,
262,014.4-06.1,"SB 19",18:39:40.1,-19:14:12.05,10.7,S,
263,014.6-04.3,"M 1-50",18:33:20.9,-18:16:36.88,4.2,R,m;
265,014.9-03.1,"SaSt 3-166",18:29:11.3,-17:27:12.89,13.0,E,
266,014.9+06.4,"K 2-5",17:54:26.2,-12:48:35.96,25.0,B,a;p;s;
267,015.4-04.5,"M 1-53",18:35:48.3,-17:36:08.71,6.0,R,
268,015.6-03.0,"Abell 44",18:30:10.8,-16:45:20.52,67.0,B,p;s;
269,015.9+03.3,"M 1-39",18:07:30.7,-13:28:47.60,5.0,E,m;
270,016.0+13.5,"Abell 42",17:31:29.1,-08:19:10.16,60.0,E,r;
271,016.0-04.3,"M 1-54",18:36:08.4,-16:59:57.01,13.0,E,
272,016.1-04.7,"M 1-56",18:37:46.3,-17:05:46.54,10.0,R,
273,016.4-01.9,"M 1-46",18:27:56.3,-15:32:54.42,12.1,R,m;p;r;s;
275,016.9-02.0,"Sa 3-134",18:29:19.8,-15:07:39.97,10.8,E,
276,017.0+11.1,"GLMP 621",17:42:14.4,-08:43:18.62,13.0,E,
277,017.3-21.9,"Abell 65",19:46:34.21,-23:08:13.1,152.0,E,
279,017.6-01.1,"VSP 2-18",18:27:13.4,-14:08:34.58,12.4,R,
280,017.6-10.2,"Abell 51",19:01:01.39,-18:12:15.5,59.2,R,r;s;
281,017.7-02.9,"M 1-52",18:33:58.5,-14:52:25.03,6.6,R,
282,017.9-04.8,"M 3-30",18:41:14.9,-15:33:41.40,19.1,R,r;s;
283,018.0+20.1,"Na 1",17:12:51.9,-03:16:00.12,10.0,E,a;m;p;
284,018.6-02.2,"M 3-54",18:33:03.7,-13:44:19.97,4.4,R,
285,018.9+03.6,"M 4-8",18:12:09.6,-10:42:58.28,5.0,R,
286,018.9+04.1,"M 3-52",18:10:26.4,-10:29:04.78,11.6,E,a;s;
287,019.2-04.4,"PM 1-251",18:42:24.8,-14:15:11.81,18.5,E,r;s;
288,019.2-02.2,"M 4-10",18:34:13.8,-13:12:24.59,12.3,S,
289,019.4-05.3,"M 1-61",18:45:55.1,-14:27:37.94,1.8,R,
290,019.4-19.6,"K 2-7",19:40:29.53,-20:27:07.2,159.0,R,
291,019.4-13.6,"DeHt 3",19:17:04.11,-18:01:35.8,33.0,B,p;
292,019.7+03.2,"M 3-25",18:15:17.0,-10:10:09.48,3.9,R,
293,019.7-04.5,"M 1-60",18:43:38.1,-13:44:48.62,2.5,B,p;
294,019.8-23.7,"Abell 66",19:57:31.5,-21:36:46.3,312.0,R,m;r;s;
295,019.8+05.6,"CTS 1",18:06:59.8,-08:55:32.81,3.0,E,
296,019.9+00.9,"M 3-53",18:24:07.9,-11:06:42.08,5.0,R,
298,020.4+00.6,"PM 1-231",18:25:58.1,-10:45:28.48,4.5,B,
299,020.7-05.9,"Sa 1-8",18:50:44.3,-13:31:02.17,8.0,R,
300,020.9-01.1,"M 1-51",18:33:29.0,-11:07:26.40,15.4,B,
301,021.1-05.9,"M 1-63",18:51:30.9,-13:10:36.80,4.2,E,
302,021.2-03.9,"We 1-7",18:44:06.2,-12:12:55.44,20.5,R,r;s;
303,021.7-00.6,"M 3-55",18:33:14.8,-10:15:19.44,12.2,B,
304,021.8-00.4,"M 3-28",18:32:41.3,-10:05:50.03,24.1,B,a;p;s;
305,021.9+02.7,"MaC 1-12",18:21:21.1,-08:31:42.31,5.0,R,
306,022.0-04.3,"AS 321",18:47:04.0,-11:41:11.72,4.0,,
307,022.0-03.1,"M 1-58",18:42:57.0,-11:06:53.10,6.4,R,
308,022.1-02.4,"M 1-57",18:40:20.3,-10:39:47.16,12.0,B,p;s;
309,022.5+01.0,"MaC 1-13",18:28:35.2,-08:43:22.84,18.0,B,s;
310,022.5+04.8,"MA 2",18:15:13.4,-06:57:12.20,10.0,E,a;s;
311,023.0+04.3,"MA 3",18:17:49.4,-06:48:21.56,5.0,E,m;
312,023.3-07.6,"MaC 1-16",19:01:21.8,-11:58:19.99,10.0,E,
313,023.8-01.7,"K 3-11",18:41:07.3,-08:55:58.98,11.1,S,
314,023.9+01.2,"MA 13",18:30:30.4,-07:27:38.30,7.7,R,
315,023.9-02.3,"M 1-59",18:43:20.2,-09:04:48.65,6.7,B,a;m;r;s;
316,024.1+03.8,"M 2-40",18:21:23.8,-06:01:55.78,5.5,B,m;p;r;s;
317,024.2+05.9,"M 4-9",18:14:18.4,-04:59:21.30,47.9,E,a;p;r;s;
318,024.2-05.2,"M 4-11",18:54:17.8,-10:05:12.84,29.0,E,r;s;
319,024.3-03.3,"Pe 1-17",18:47:48.8,-09:09:06.95,14.7,B,a;m;p;s;
320,024.8-02.7,"M 2-46",18:46:34.6,-08:28:01.85,4.4,B,m;p;s;
321,025.0-11.6,"Abell 60",19:19:17.8,-12:14:35.99,94.0,E,m;s;
322,025.3+40.8,"IC 4593",16:11:44.5,12:04:17.08,15.3,E,a;m;p;r;s;
323,025.3-04.6,"K 4-8",18:54:20.0,-08:47:33.18,9.5,E,
324,025.4-04.7,"IC 1295",18:54:37.0,-08:49:38.35,110.0,E,m;r;s;
325,025.8-17.9,"NGC 6818",19:43:57.7,-14:09:11.66,24.7,E,m;s;
326,025.9-02.1,"Pe 1-15",18:46:24.6,-07:14:34.30,5.0,E,m;r;
327,025.9-00.9,"Pe 1-14",18:42:08.0,-06:40:55.31,5.0,B,
328,025.9-10.9,"Na 2",19:18:19.5,-11:06:15.44,6.3,B,
329,026.0-01.8,"Pe 2-15",18:45:27.5,-06:56:57.44,3.0,S,
330,026.3-02.2,"Pe 1-16",18:47:32.2,-06:54:03.53,7.6,E,s;
331,026.5-03.0,"Pe 1-19",18:49:44.6,-07:01:35.04,4.4,,
332,026.6-01.5,"K 4-5",18:45:36.6,-06:18:34.34,64.0,B,a;p;s;
334,027.3-02.1,"Pe 1-18",18:48:46.5,-05:56:07.08,6.8,S,
335,027.3-03.4,"Abell 49",18:53:28.30,-06:28:43.5,56.0,E,m;r;s;
336,027.4-03.5,"Vy 1-4",18:54:01.9,-06:26:19.82,15.0,R,
337,027.6-09.6,"IC 4846",19:16:28.2,-09:02:36.56,3.0,B,m;p;s;
338,027.6+16.9,"DeHt 2",17:41:41.0,03:06:54.90,124.0,R,a;r;s;
339,027.6+04.2,"M 2-43",18:26:40.0,-02:42:57.64,2.0,E,m;
340,027.7+00.7,"M 2-45",18:39:21.8,-04:19:50.92,9.4,E,s;
341,028.0+10.2,"WeSb 3",18:06:00.8,00:22:38.57,50.7,E,m;r;s;
342,028.2-04.0,"Pe 1-20",18:57:17.4,-05:59:51.79,6.4,E,m;p;r;
343,028.5+05.1,"K 3-2",18:25:00.6,-01:30:52.63,3.0,E,a;r;
344,028.5+01.6,"M 2-44",18:37:36.9,-03:05:55.97,11.3,E,m;p;r;s;
345,028.7+02.7,"K 3-7",18:34:13.6,-02:27:37.01,8.0,E,a;p;r;s;
346,028.7-03.9,"Pe 1-21",18:57:49.7,-05:27:40.14,11.1,E,r;s;
347,029.0+00.4,"Abell 48",18:42:46.9,-03:13:17.29,43.5,E,m;p;r;s;
348,029.2+00.0,"TDC 1",18:44:53.4,-03:20:32.89,5.6,B,
349,029.2-05.9,"NGC 6751",19:05:55.6,-05:59:32.93,24.1,E,m;p;r;s;
350,029.8-07.8,"LSA 1",19:13:55.7,-06:18:52.20,14.0,R,p;r;
352,030.8+03.4,"Abell 47",18:35:22.6,-00:13:49.69,17.5,E,r;
353,031.0+04.1,"K 3-6",18:33:17.5,00:11:47.18,,R,
354,031.0-10.8,"M 3-34",19:27:01.9,-06:35:04.63,7.4,E,m;p;s;
355,031.2+05.9,"K 3-3",18:27:09.3,01:14:26.63,9.5,E,p;r;s;
356,031.3-00.5,"HaTr 10",18:50:24.6,-01:40:17.98,32.0,B,a;p;r;s;
357,031.7+01.7,"PC 20",18:43:03.45,-00:16:37.5,12.0,B,
358,031.9-00.3,"WeSb 4",18:50:40.3,-01:03:11.16,42.0,B,m;p;s;
360,032.0-01.7,"CBSS 2",18:56:15.7,-01:34:00.30,4.9,E,
361,032.1+07.0,"PC 19",18:24:44.5,02:29:28.10,3.0,B,m;p;s;
362,032.5-03.2,"K 3-20",19:02:10.2,-01:48:45.32,,S,
363,032.7+05.6,"K 3-4",18:31:00.2,02:25:27.34,19.7,B,m;p;r;s;
364,032.7-02.0,"M 1-66",18:58:26.3,-01:03:45.68,3.0,B,m;p;s;
365,032.9-02.8,"K 3-19",19:01:36.6,-01:19:07.86,10.0,S,
366,032.9-00.7,"CBSS 3",18:54:06.8,-00:20:02.87,6.5,E,
367,032.9+07.8,"K 3-1",18:23:21.7,03:36:27.79,8.0,B,p;s;
368,033.0-05.3,"Abell 55",19:10:25.8,-02:20:23.46,56.8,B,s;
369,033.1-06.3,"NGC 6772",19:14:36.4,-02:42:25.06,80.7,B,m;p;r;s;
370,033.2-01.9,"Sa 3-151",18:58:51.7,-00:32:57.48,13.0,R,
371,033.7-02.0,"CBSS 1",19:00:16.1,-00:14:32.60,4.9,E,
